Zone,BestModel,Raw_RMSE,ML_RMSE,Skill
Afghanistan,CatBoost,2.921200208739122,2.4764962053815673,0.15223331904029347
Bangladesh,StackingEnsemble,1.4539541204800852,0.4760305063328958,0.672595923332358
Bhutan,StackingEnsemble,3.4845785534825064,0.9923698621137785,0.7152109367366682
Myanmar,XGBoost,1.5625171208363193,0.5426200196539696,0.6527269926082229
Nepal,StackingEnsemble,1.9473976217865248,1.5194809074418714,0.219737720513434
Pakistan,GradientBoosting,3.21832815331401,2.1178862845361333,0.3419296654521443
Sri Lanka,StackingEnsemble,1.7773097726329432,0.37288831042285625,0.7901950936383747
Zone 1,StackingEnsemble,1.8432462283462179,1.653240784882039,0.10308196514507673
Zone 10,RandomForest,1.9474842963834342,0.5092202635116562,0.7385240720773456
Zone 11,LightGBM,1.2902358799310816,0.3897128818302882,0.697952221068984
Zone 12,XGBoost,1.4258198119525278,0.36953630934191783,0.7408253790246664
Zone 13,GradientBoosting,1.6454941101074894,1.127945175735798,0.31452493885735233
Zone 14,LightGBM,3.314231448134882,2.1076251935509447,0.3640681930234436
Zone 15,StackingEnsemble,1.3081057590269607,0.3491479208393831,0.7330889200433625
Zone 2,StackingEnsemble,1.3592559466837804,0.8586321912133996,0.3683072026955396
Zone 3,RandomForest,1.4457662855549063,0.6263902809785625,0.5667416737843318
Zone 4,StackingEnsemble,1.5482074786373816,1.5117941407640654,0.023519675738399526
Zone 5,GradientBoosting,2.027840245554258,1.3807282776148058,0.319113879586003
Zone 6,LightGBM,2.749840224555872,1.4081023932419807,0.48793301491929264
Zone 7,StackingEnsemble,1.8854506685436832,1.1086316614392488,0.4120070708105278
Zone 8,GradientBoosting,2.1391377356493977,1.0390712524010048,0.51425696668122
Zone 9,LightGBM,1.401778824244684,1.07541704920383,0.23281973546483448
